                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.41396,                0.33111,                 0.8721,                0.97773,                      1,                0.98334,                0.90218,                0.41793,                0.33367,                 0.7611,              0.0012872,              0.0012872,              0.0012872
                     38,                0.43244,                0.33556,                0.88737,                0.98358,                      1,                0.98607,                0.91744,                0.38579,                0.30606,                0.75159,              0.0012674,              0.0012674,              0.0012674
                     39,                0.41611,                0.31998,                0.87943,                0.98259,                      1,                0.98793,                0.90975,                0.41575,                 0.3351,                0.75962,              0.0012476,              0.0012476,              0.0012476
                     40,                0.40821,                0.31195,                0.87681,                0.98357,                      1,                0.98867,                0.91412,                0.39452,                0.31075,                0.75443,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41772,                0.32555,                0.88733,                0.98243,                      1,                0.98624,                0.90507,                0.39444,                0.30142,                0.75912,               0.001208,               0.001208,               0.001208
                     42,                0.41557,                0.31449,                0.88323,                0.98256,                      1,                0.98617,                0.90968,                0.39854,                0.31576,                0.77118,              0.0011882,              0.0011882,              0.0011882
                     43,                0.40048,                 0.3154,                0.87183,                0.97862,                      1,                0.99155,                0.90294,                0.43652,                0.31872,                0.77128,              0.0011684,              0.0011684,              0.0011684
                     44,                0.42019,                0.31278,                0.88689,                0.97885,                0.99014,                0.98531,                0.91356,                0.39816,                0.32326,                0.75874,              0.0011486,              0.0011486,              0.0011486
                     45,                0.38297,                0.31115,                0.87453,                 0.9838,                      1,                0.98111,                0.90515,                0.41074,                0.32778,                0.77069,              0.0011288,              0.0011288,              0.0011288
                     46,                0.39846,                0.31011,                0.88032,                0.98368,                      1,                  0.983,                0.91472,                0.38551,                0.30387,                0.77012,               0.001109,               0.001109,               0.001109
                     47,                0.38931,                0.30564,                0.87428,                0.98331,                      1,                0.98941,                0.91234,                0.39121,                 0.3051,                0.78061,              0.0010892,              0.0010892,              0.0010892
                     48,                0.38431,                0.29915,                0.86461,                0.98366,                      1,                0.99308,                0.92849,                0.37338,                0.29916,                0.75357,              0.0010694,              0.0010694,              0.0010694
                     49,                0.38508,                0.29277,                0.86939,                0.98332,                      1,                0.99191,                0.92434,                0.37142,                0.29348,                0.74061,              0.0010496,              0.0010496,              0.0010496
                     50,                0.39171,                0.29356,                 0.8727,                0.98214,                      1,                0.98624,                0.92127,                0.36706,                0.30115,                0.74191,              0.0010298,              0.0010298,              0.0010298
                     51,                0.37118,                0.27957,                 0.8672,                0.98083,                      1,                0.98576,                0.92102,                0.35648,                0.31477,                0.74534,                0.00101,                0.00101,                0.00101
                     52,                0.37358,                0.28323,                0.86534,                0.97432,                      1,                 0.9873,                0.93145,                0.35444,                0.28704,                0.74566,              0.0009902,              0.0009902,              0.0009902
                     53,                0.35804,                0.28174,                0.87123,                0.98376,                      1,                0.98032,                0.92443,                0.35125,                0.27415,                0.74746,              0.0009704,              0.0009704,              0.0009704
                     54,                0.37932,                0.28063,                0.86236,                0.98359,                      1,                0.98221,                 0.9184,                0.37165,                0.28466,                0.76356,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.3784,                0.28197,                0.86841,                0.98332,                      1,                0.98509,                0.91859,                0.35477,                0.27419,                0.74693,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.3647,                0.27571,                0.86005,                0.97821,                      1,                 0.9859,                0.92039,                0.36721,                0.28413,                0.75226,               0.000911,               0.000911,               0.000911
                     57,                0.36702,                0.27482,                0.86647,                0.97828,                      1,                0.97947,                0.90447,                0.39951,                0.28857,                 0.7748,              0.0008912,              0.0008912,              0.0008912
                     58,                0.36103,                0.27772,                0.86249,                0.98317,                      1,                0.98284,                0.91544,                0.36312,                 0.2861,                0.77064,              0.0008714,              0.0008714,              0.0008714
                     59,                0.36632,                0.26877,                0.86961,                0.98356,                      1,                0.98899,                0.91538,                0.39328,                0.29981,                0.77742,              0.0008516,              0.0008516,              0.0008516
                     60,                0.37406,                0.27899,                0.87428,                  0.978,                      1,                0.99154,                0.92305,                0.37455,                0.29931,                0.77447,              0.0008318,              0.0008318,              0.0008318
                     61,                0.35786,                0.26206,                0.86758,                 0.9842,                0.99949,                0.99321,                0.93154,                0.37294,                 0.2818,                0.76866,               0.000812,               0.000812,               0.000812
